Title 1,cat 1,Title 2, Job description, Requirments,Link, catagories
Principal Assembler Developer,BMC Software,,תיאור משרה"At BMC trust is not just a word - it's a way of life!"We are an award-winning. equal opportunity. culturally diverse. fun place to be. Giving back to the community drives us to be better every single day. Our work environment allows you to balance your priorities. because we know you will bring your best every day. We will champion your wins and shout them from the rooftops. Your peers will inspire. drive. support you. and make you laugh out loud!We help our customers free up time and space to become an Autonomous Digital Enterprise that conquers the opportunities ahead - and are relentless in the pursuit of innovation!?We're looking for a Principal Assembler Developer to join our amazing IZOT team in Tel Aviv (hybrid).The IZOT product line includes BMC’s Intelligent Z Optimization & Transformation products. which help the world’s largest companies to monitor and manage their mainframe systems. The modernization of mainframe is the beating heart of our product line. and we achieve this goal by developing products that improve the developer experience. the mainframe integration. the speed of application development. the quality of the code and the applications’ security. while reducing operational costs and risks. We acquired several companies along the way. and we continue to grow. innovate. and perfect our solutions on an ongoing basis.In this role. you will lead the programming for products and solutions according to design specifications. You’ll have the opportunity to promote and initiate product innovation and to identify and implement best practices & processes.This is an amazing role that will allow you to work on a broad array of critical. unique issues and complex programs and solutions. You will also build prototypes and use other techniques to achieve product definition and design goals.So. if you’re looking for a development role with a lot of influence. opportunities. and challenges. If you love leading programming for complex products. If you love working with people from all around the world – BMC is the place for you!In this role. you will:Successfully develop and deliver products. product lines. and solutions ensuring functional accuracy and quality standards.Design. code. and fix defects of increasingly complex. multi-tier software solutions.Produce a range of high-quality design options. reflecting a wide breadth of technical knowledge and insight.Conduct code and design reviews.Make high-impact decisions; determine which development paths to pursue to deliver the greatest value.Evaluate new technologies/innovations and processes that could impact products/solutions including 3rd party releases.Work directly with global clients on complex product issues/escalations.Mentor/provide technical guidance to the development team.Leverage the skill sets of the entire team. take input and advice. combine pieces of information to produce a better answer.,דרישות התפקידRequirements:At least 12 years of experience with z/OS Processing Environment.At least 7 years of experience in IBM coding and development.Experience in a technical lead role. using an Agile development model.Extensive development experience using 64-bit Assembler and 31-bit Assembler programming languages.Experience with C.Coding experience in a multitasking. reentrant and/or sysplex environment.Experienced creating functional designs/specifications from business requirements.Experience with IBM Mainframe environment (TSO/ISPF. JCL etc.).Excellent knowledge of z/OS structure and logic including knowledge of z/OS operating system internals.Experience in developing working code utilizing low-level operating system functions to accomplish a desired task.z/OS Internals experience architecting complex operating system level solutions.In depth experience in troubleshooting complex problems at application and systems levels.· Self-starter with ability to work both independently and as a part of a team.Fluent English (written and verbal)Nice to have:Experience with TCP/IP and related networking protocols.Understanding of Linux on IBM Z and Unix System Services.Experience with monitoring tools for systems and subsystems in z/OS environments.Our commitment to you!BMC’s culture is built around its people. We have 6000+ brilliant minds working together across the globe. You won’t be known just by your employee number. but for your true authentic self. BMC lets you be YOU!If after reading the above. You’re unsure if you meet the qualifications of this role but are deeply excited about BMC and this team. we still encourage you to apply! We want to attract talents from diverse backgrounds and experience to ensure we face the world together with the best ideas!BMC is committed to equal opportunity employment regardless of race. age. sex. creed. color. religion. citizenship status. sexual orientation. gender. gender expression. gender identity. national origin. disability. marital status. pregnancy. disabled veteran or status as a protected veteran. If you need a reasonable accommodation for any part of the application and hiring process. visit the accommodation request page.,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-19982-bmc-software/,הייטק-תוכנה & מתכנת/ת & מהנדס/ת תוכנה & COBOLTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
Senior Core Developer,פריוריטי סופטוור בעמ,,תיאור משרהAre you an experienced C++ developer with a passion for infrastructure/core services?We are seeking a talented developer to join our team! You will have the opportunity to play a key role in the design and implementation of our next generation Priority ERP core backend.,דרישות התפקיד• 7 years experience developing in C/C++• Experience designing. developing and maintaining back-end distributed system.• Experience in SQL• Strong problem-solving capabilities & analytical skills• Proficient English. both verbal and written• Excellent debugging skills of complex systems using various tools.• Experience with Go - AdvantageCome and work in a great team with a special atmosphere!,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-20953-%D7%90%D7%A9%D7%91%D7%9C-%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%95%D7%AA/,הייטק-תוכנה & C++ / C & BACKENDTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
מפתח/ת Full Stack בכיר/ה לעבודה מול ארגון בטחוני,עוז תוכנה בע"מ,,תיאור משרההתפקיד כולל:- פיתוח מערכות וכתיבת קוד. בטכנולוגיות ה-Web לסוגיהן. כולל מערכות ל-Mobile. מוצרי תשתית מבוססי WEB. פיתוח לענן ועוד.- עבודה בכל מחזור חיי הפיתוח בשיתוף פעולה מול מגוון רחב של גופים וצוותים טכנולוגיים.- ליווי תהליך יצירת האפיון הפונקציונאלי. כתיבת האפיון הטכני ותמיכה בצוות המפתח עד השלמת הפרויקט.,דרישות התפקידדרישות:- לפחות 6 שנות ניסיון בפיתוח.- לפחות 5 שנות ניסיון בכתיבת קוד צד שרת משמעותי (Node.js / .Net / .Net core).- לפחות 3 שנות ניסיון בפיתוח קוד צד לקוח -Angular / React-שליטה ב Entity framework- ניסיון משמעותי בתפקידי הובלת פיתוח של מערכות WEB מורכבות טכנולוגית ובהנחיה של צוותי פיתוח ברמת Hands on.- ניסיון בכל מחזור חיי הפרויקט ובביצוע פיתוחים מורכבים במיוחד.- השכלה אקדמית רלוונטית.יתרון:- סיווג בטחוני בתוקף,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2284810-%D7%A4%D7%A8%D7%93%D7%A1%D7%99%D7%94-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98%D7%99%D7%9D/,הייטק-תוכנה & מפתח/ת WEB & FULL STACK & NET.Title 1,cat 1,Title 2, Job description, Requirments,Link, catagories
דרוש/ה FullStack Developer לחברה מובילה בדרום הארץ,Unitask,,תיאור משרה***יש גם משרת FS וגם משרת FE****הזדמנות להצטרף לחברה מובילה כעובד/ת חברה מהיום הראשון. לקחת חלק בעשייה משמעותית ופיתוחים מתקדמיםהתפקיד כולל:פיתוח מערכות תוכנה מורכבות ומבוזרותעיסוק בכל השלבים בתהליכי פיתוח התוכנה: אפיון ומעורבות בהנדסת המערכת. הגדרת דרישות. ממשקים. תכן תוכנה. יישום. הוכחה. אינטגרציה ותחזוקה.,דרישות התפקידניסיון מעמיק בפיתוח צד לקוח עם Angular (מינימום 5 שנים)- חובהניסיון בעבודה עם מתודולוגיות Agile - חובהניסיון בעבודה עם ארכיטקטורת Microservices- חובהמיומנות ב- NET. #C בצד שרת - יתרוןתואר ראשון רלוונטי - יתרוןהמשרה מיועדת לנשים ולגברים כאחד.,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-15256-unitask/,הייטק-תוכנה & FULL STACK & ANGULAR & FRONTENDTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
RT Embedded engineer,קורן טק טכנולוגיות,,תיאור משרהעבור ארגון גדול ויציב באזור המרכז דרוש.ה RT Embedded engineer.התפקיד כולל עבודה על גבי מערכת הפעלה FreeRTOS עם מעבדי STM32.,דרישות התפקיד- תואר ראשון בהנדסת חשמל ואלקטרוניקה/תואר הנדסי אחר- ניסיון של 7 שנים לפחות בפיתוח Embedded עם C/C ++- ניסיון עם מערכת הפעלה FreeRTOS- ניסיון עם מעבדי ARM. עדיפות למעבד STM32- הכרות עם פרוטוקולי תקשורת UDP. UART. SPI. Ethernet. I2C- עבודה ב Multi Core (תקשורת בין מעבדים),https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-10368-%D7%A7%D7%95%D7%A8%D7%9F-%D7%98%D7%A7-%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%95%D7%AA/,הייטק-תוכנה & RT / EMBEDDED & C++ / C & מתכנת/ת & הנדסה & מהנדסים כללי & מהנדס/ת חשמל & מהנדס/ת אלקטרוניקהTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
מהנדס/ת תוכנה לחברה חדשנית בתחום הפוטו-וולטאי,אל-מור אנרגיות מתחדשות,,תיאור משרהלחברת טריגו. חברת בת של חברת אלמור אנרגיות מתחדשות דרוש/ה מהנדס/ת תוכנה.טריגו מפתחת מוצר קלינטק לשוק החקלאי-סולארי• מומחה/מומחית בהגדרת מוצר. ביזנס אנאלייסיס• מנוסה באינטגרציית תוכנה קיימת והתאמתה לצרכי החברה וצרכניה• שליטה בכתיבת קוד לפיתוח יישומי קצה פשוטים ואינטרפייס• יכולת לכתוב תיק מוצר ומניואל עבור צרכנים באנגלית• יכולת ניהול אופקית של שותפיםמשרה חלקית. עבודה מהבית/היברידי. מהנדס תוכנה/מערכות מידע/אלקטרוניקה,דרישות התפקידדרישות:• מהנדס תוכנה/מערכות מידע/אלקטרוניקה - חובה• רקע בענף החקלאות – יתרון,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3492279-%D7%90%D7%9C%D7%9E%D7%95%D7%A8-%D7%90%D7%A0%D7%A8%D7%92%D7%99%D7%95%D7%AA-%D7%9E%D7%AA%D7%97%D7%93%D7%A9%D7%95%D7%AA/,הייטק-תוכנה & מתכנת/ת & ראש צוות פיתוח & מהנדס/ת תוכנהTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
דרוש/ה מפתח/ת Sr. Backend עם ניסיון ב-Apache Druid,Medulla,,תיאור משרהסטארטאפ המפתח פלטפורמת MLOps לניהול מודלים וניסויים של AI ו-ML. המאפשרת לאנשי דאטה לשפר משמעותית את זמני הפיתוח ואיכות המודלים שלהם. מחפש מפתחי/ות תוכנה מנוסים בדגש על Data Engineering.ממוקמים בתל אביב על קו רכבת. עובדים רק יומיים מהמשרדים!,דרישות התפקידדרישות:- 8+ שנות בפיתוח תוכנה של מוצר SaaS. כולל ניסיון עם Data engineering- ניסיון עם הבאים חובה: Java. Apache Druid  יתרון:- היכרות עם טכנולוגיות כגון AWS. MYSQL. Redis. Cassandra. kafka. k8s. docker,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-746570-medulla/,הייטק-תוכנה & DATA ENGINEER & BACKEND & JAVATitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
Full Stack Team Lead,מונסייט,,תיאור משרהדרוש/ה Full Stack Team Lead למשרה עם 50-70% HANDS ON לתפקיד של ניהול צוות הפיתוח. לקחת אחריות מלאה על התוצרים ולהיות יד ימינו של הCTO.לחברה ותיקה בשוק הישראלי בעלת מעל 50 מוצרים טכנולוגים חדישים המתמחה בתחומי פתרונות OSS. אירועים. רשת. ניהול ביצועים ורמת שירות. מערכת. אבטחה. ניהול תצורה.,דרישות התפקידדרישות חובה8-10 שנות ניסיון בפיתוח HANDS ON.ניסיון ניהולי של לפחות שנתיים בניהול צוות של 3-5 אנשים. הכוונת מפתחים ופתרון בעיות.ניסיון של לפחות 3 שנים ב-Python – פיתוח Backend מערכות מידע עם לוגיקה עסקית מורכבתRESTFUL API.עיצוב ותכנון ארכיטקטורת מערכת.הקמה של סביבות ואוטומציה Linux. Containers. Micro-Servicesעבודה מול ממשקים וטכנולוגיות מגוונות. הגדרת דרישות תשתית ואינטגרציה.יתרוןBackend - REST API. Docker.Frontend - Vue.js/React Web Frameworks. JavaScript.הבנה של ארכיטקטורת מערכת וקונספט; עיצוב ופריסה. אינטגרציה בסביבות מורכבות כמו API Gateway Proxy. WAF. Content-Filters. Cloud & On-Prem.ניסיון בעבודה בענן.,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-24492-%D7%9E%D7%95%D7%A0%D7%A1%D7%99%D7%99%D7%98-%D7%AA%D7%95%D7%9B%D7%A0%D7%94/,הייטק-תוכנה & LINUX / UNIX & ראש צוות פיתוח & PYTHONTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
אנליסט/ית לשרשרת אספקה,קבוצת יעל,,תיאור משרהלארגון בטחוני מוביל בצפון דרוש/ה אנליסטהתפקיד כולל:*ניתוח הBIG DATA של שרשרת אספקה ואיתור כשלים בתהליכים עסקיים וזיהוי פוטנציאל להתייעלות וחסכונות.*פיתוח דוחות תפעוליים ב BO כדי לתתן מענה לצרכים של המחלקות השונות בשרשרת אספקה.,דרישות התפקידSQL ברמה גבוההניסיון בפיתוח דוחות ב-BOניסיון קודם בתפקיד אנליטי,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-28853-%D7%99%D7%A2%D7%9C-%D7%AA%D7%95%D7%9B%D7%A0%D7%94/,הייטק-תוכנה & BITitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
מפתח/ת תשתיות בדיקות אוטומציה בכיר/ה,קורן טק טכנולוגיות,,תיאור משרהלחברת סטארט אפ בעולמות הAI. דרוש/ה מפתח/ת תשתיות בדיקות אוטומציה בכיר/ה.במסגרת התפקיד:- הקמת תשתית בדיקות אוטומציה- פיתוח תוכניות בדיקה- הובלה בקידום ויישום יוזמות אוטומציה בתוך צוות R&D על ידי טיפוח תרבות צוות שיתופית ומכוונת צמיחה.,דרישות התפקיד- תואר ראשון- במדעי המחשב. הנדסה או כל תחום קשור - חובה- 6 שנות ניסיון בתפקיד מהנדס/ת אוטומציה. רצוי בתעשיית הרכב. הרפואה או הביטחון.- שליטה ב- Python,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-10368-%D7%A7%D7%95%D7%A8%D7%9F-%D7%98%D7%A7-%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%95%D7%AA/,הייטק-תוכנה & מפתח/ת כלי בדיקות & הייטק-QA & בדיקות אוטומטיות & מהנדס/ת QA & מפתח/ת כלי בדיקותTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
