Title,Company,Job description,Requirements,Categories,Link
קריירה בעולמות ה-DevOps! ההכשרה על חשבוננו,Infinity Labs,"תיאור משרה Infinity Labs RnD, חברת פיתוח ומחקר מובילה, מגייסת מועמדים לתפקיד DevOps – אחד מהמקצועות הנחשקים בעולם ההייטק. החברה פיתחה מסלול ייחודי: DevOps Pro הכולל הכשרה אינטנסיבית וממוקדת שאורכת כ-22 שבועות. ההכשרה שלנו לא מבוססת על מרצים ושקפים, אלא משימות ואתגרי ניסוי וטעייה המקבילים למשימות יומיומיות בתעשייה בליווי צוות מנטורים.  במסלול ה-DevOps Pro תקבלו את כל הכלים המקצועיים ומשימות המקבילות לאתגרים היום-יומיים של אנשי DevOps. - ההכשרה בשיטת Hands-On - התמקצעות בשפות פיתוח בעולמות ה-System - עבודה בכלי CI\CD ו-SDLC - כלי ניהול קוד וגרסאות - שיטות בדיקה מורכבות - בניית תהליכים באמצעות דוקרים  בסיום ההכשרה תוכלו להשתלב בתפקיד DevOps באחת מחברות ההייטק והסטארט-אפים המובילים בישראל, בהם משתלבים מדי שנה בוגרים ובוגרות שלנו. ההכשרה על חשבון אינפיניטי לאבס ורק כאשר אתם מתקבלים בהצלחה למשרה, אנחנו מחזירים את ההשקעה בכם ויכולים לקיים מודל רווח. כלומר, ההצלחה שלנו בהכרח שווה להצלחה שלכם!",דרישות התפקיד - דרוש/ה ידע בסיסי בכתיבת קוד/IT - זיקה טכנולוגית ויכולת לפתור בעיות לוגיות והתמודדות עם משימות מורכבות - תנאים מעולים ואפשרויות פיתוח אישי ומקצועי למתאימים/ות - מוטיבציה גבוהה להיכנס לעולם ההייטק - ההכשרה ניתנת ללא עלות למתאימים,הייטק-כללי & איש/ת IT & HELP DESK / תמיכה & מנהל/ת רשת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1999924-infinty-labs/
DevOps Engineer,קורן טק טכנולוגיות,"תיאור משרה לחברה בינלאומית בתחום פתרונות אלקטרוניקה מתקדמים עבור יצרני שבבים, דרוש/ה DEVOPS ENGINEER. במסגרת התפקיד: - יישום תהליכי CI/CD אוטומטיים. - ניהול תצורה ושדרוגים של כלים. - ניהול סביבות בנייה ו-Releases. - הגדרת מתודולוגיות פיתוח, CI/CD ופריסה. - תמיכה בצוות הפיתוח. - הגדרת ופיתוח מדדי איכות.","דרישות התפקיד - 5+ שנות ניסיון כ-DevOps. - ניסיון עם GitHub, Azure DevOps, Jenkins, Kubernetes ועוד. - ידע בסקריפטים (PowerShell, Python, Bash/Shell). - ניסיון במערכות הפעלה (Windows, Unix, Linux). - ניסיון בבנייה ותצורה של תשתיות (Terraform, Pulumi, Ansible).",הייטק-כללי & DEVOPS & DEVOPS & הייטק-תוכנה & DEVOPS & DEVOPS,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-10368-%D7%A7%D7%95%D7%A8%D7%9F-%D7%98%D7%A7-%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%95%D7%AA/
איש/ת DEVOPS,- חסוי -,"תיאור משרה קבוצת יעל מגייסת  Devops Engineer למגוון פרויקטים חדשניים בארגונים מהמובילים במשק הישראלי!  תיאור התפקיד: - התקנה ניהול תפעול ותחזוקה של קוד תשתיתי בסביבות ענן הכוללות LINUX \ WINDOWS ברמה האפליקטיבית והתשתיתית.  - עבודה שוטפת עם כלי- Git ,Bitbucket,Jenkins,Sonarqube ,Artifactory ,Ansible, Docker,Nginx - הובלת תהליכים חדשניים ומגוונים מול גורמים בארגון- פיתוח, תשתיות, אבטחת מידע ועוד..  - כתיבת סקריפטים ואוטומציות- python, Bash, PowerShell.","דרישות התפקיד - ניסיון של 3 שנים ומעלה בתפקידי DEVOPS. - הכרות וניסיון בתהליכי CICD –חובה - ניסיון בעבודה בסביבת ענן- AWS/ GCP/ AZURE- חובה.  - יכולת מוכחת בכתיבת קוד בשפות הבאות- Python ,Bash ,Batch, Powershell ,Groovy ( C# יתרון גדול). - נסיון HandsOn בכלים הבאים-Git,Bitbucket,Jenkins,Sonarqube,Artifactory,Ansible,Docker,Nginx. - הכרות וניסיון קודם בתחום הפיתוח/ תשתיות יהווה יתרון למשרה.",הייטק-תוכנה & DEVOPS & C# & LINUX / UNIX,https://www.drushim.co.il/job/30523636/6a4bf137/
DevOps Engineer,matrix,"תיאור משרה We are seeking a skilled DevOps Engineer with a strong focus on Cloud Architecture to join our dynamic team. This role involves designing and implementing cloud-based solutions, ensuring efficient CI/CD processes, and maintaining robust server and network infrastructures. ;Responsibilities Key: Design and implement scalable and reliable cloud architectures, primarily using AWS and Azure platforms. Develop and maintain CI/CD pipelines to streamline deployment and integration processes. Manage Kubernetes environments to ensure high availability and optimal performance of applications. Provide expertise in software architecture, contributing to the development of resilient and efficient systems.","דרישות התפקיד Proven experience as a DevOps Engineer with a focus on Cloud Architecture. Strong knowledge of AWS and Azure cloud platforms. Proficiency in CI/CD tools and practices. In-depth understanding of Kubernetes and container orchestration. Solid background in software architecture, server management, and network infrastructures. Excellent problem-solving skills and ability to work in a fast-paced environment. Relevant certifications in AWS, Azure, or Kubernetes are a plus",הייטק-תוכנה & DEVOPS & PYTHON & CLOUD,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-4002277-%D7%A4%D7%99%D7%A0%D7%98%D7%A7/
DevOps Engineer,CodeValue,"תיאור משרה We are hiring an experienced DevOps Engineer to help us keep growing.  At CodeValue, we leverage the Web by administering cross-platform development. We strive to build and maintain our top-notch expertise in this extremely dynamic and versatile field.  If you're dedicated and ambitious, CodeValue is an excellent place to grow your career. Don't hesitate to apply.  As a DevOps Engineer at CodeValue, you will be responsible for:  * Establishment, development, and ongoing operation of cloud infrastructures serving developers. * Utilize and configure advanced cloud-based solutions to support system development and deployment. * Explore and integrate new solutions for various infrastructure-related matters * Providing support for resolving complex issues. * Assisting in the implementation and deployment of complex projects in the cloud environment.","דרישות התפקיד 2+ years of experience working with cloud infrastructures Experience with AWS/GCP- Must Experience with Linux- Must Expertise in setting up and maintaining Kubernetes infrastructure, establishing CI/CD pipelines, and version control management in GitHub. Experience in Python coding, bash scripting, and Terraform. Ability to analyze and troubleshoot complex issues. Capability to work independently and as part of a team. Excellent interpersonal skills and ability to collaborate with various professional stakeholders.",הייטק-כללי & DEVOPS & CLOUD & תשתיות & DEVOPS & CLOUD & הייטק-תוכנה & DEVOPS & CLOUD & DEVOPS & CLOUD,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1953469-codevalue/
לארגון מוביל בתחומו דרוש/ה איש DEVOPS,- חסוי -,"תיאור משרה לארגון מוביל בתחומו במתחם הבורסה בר""ג, נדרש איש DEVOPS! עם רצון ורעב להתפתח בתחום.",דרישות התפקיד - לפחות שנה ניסיון בתחום ה-DEVOPS (אפשרי ניסיון צבאי)- חובה - ניסיון בתהליכי CI/CD - ניסיון בעבודה עם KUBERNETES- חובה - רצון ורעב להתפתח בתחום לטווח הרחוק,הייטק-כללי & DEVOPS & DEVOPS & הייטק-תוכנה & DEVOPS & DEVOPS,https://www.drushim.co.il/job/30648143/2474fa24/
DevOps Engineer,BMC Software,"תיאור משרה BMC is looking for an Experienced DevOps Engineer (with a focus on the Dev part) to join our amazing SaaS team, responsible for taking our product to the next level of working in SaaS, while developing the infrastructure for SaaS solutions using advanced technologies.  In this role, you will develop and maintain efficient and reliable DevOps functions for the Control-M product, while working as a part of an awesome DevOps team. You will also collaborate with various interfaces, such as development, QA, Support etc.  How will your day-to-day look like? Participate in supporting code, configuration management, and release branches using CI/CD tools. Write scripts in Python, Groovy and Terraform to build AWS infrastructure. Support production environments. Deploy Microservices on Kubernetes with Helm / Kubectl tool. Work as a part of a fantastic team of professional DevOps Engineers while working with advanced technologies. Collaborate with internal interfaces, such as development QA, SRE, etc.","דרישות התפקיד Requirements: 3+ years of experience in a DevOps role Experience in coding and scripting in Python Experience in SaaS architecture development in an AWS platform Experience in Docker, Kubernetes, helm, Terraform and Jenkins. Knowledge of automation process, automation tools, continuous integration, and continuous delivery. Problem-solver with an investigative mentality. Self-starter with initiative and a can-do attitude. A team player with good communication & collaboration skills  Nice to Have: Using “infrastructure as code” for AWS like CloudFormation. Experience in Operational and operability tools like DataDog. Involvement in all the chain of development – from design to production. B.Sc. in Computer Science or a related field",הייטק-תוכנה & DEVOPS,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-19982-bmc-software/
מנהל/ת פיתוח וישומי DevOps,"עוז תוכנה בע""מ","תיאור משרה דרוש/ה מנהל/ת פיתוח לארגון פיננסי גדול (העבודה ב 2 סייטים שונים ת""א ולוד) תיאורהתפקיד: - ניהול ואחריות על כל תהליכי הפיתוח בתוכנית האצה דיגיטלית בארגון. - עבודה שוטפת עם מנהל הפיתוח מטעם הספק. - מתן סיוע הכולל תמיכה טכנולוגית, ארגונית ומקצועית לצוותי הפיתוח בפרויקט. - יזום רעיונות לחדשנות ופונקציונליות חדשה. - דיווח למנהל התוכנית על סטטוס התקדמות הפיתוח ו""הרמת דגלים"" בעת הצורך. - מעקב אחר ישום החלטות על ידי צוותי הפיתוח. - בקרה על תכנון המערכות וצורת הפיתוח (צורך מול שימוש, תכנון עתידי ורב שימושיות). - בקרה על איכות כתיבת הקוד. - בקרה על איכות התוצרים, עמידה בלו""ז ובנהלים.","דרישות התפקיד - ניסיון של 5 שנים (מינימום),בניהול גופי פיתוח ותהליכי פיתוח מקבילים - חובה. - ידע נרחב ומוכח במערכות דיגיטל ותשתיות מיקרוסרויסים - חובה. - ידע נרחב ומוכח בהטמעה והיכרות עם כלים ותהליכי CI/CD - חובה. - עבודה בשיטת פיתוח אג'ילית, עם היכרות לעולמות ה Waterfall - חובה. - בעל/ת תפיסה מערכתית ויכולת ניתוח רחבה - חובה. - עבודה מול משתמשים ועבודה מול ספקים - חובה. - יכולת ניהול והנעת עובדים של צוותי פיתוח - חובה.",הייטק-תוכנה & מנהל/ת פיתוח & ראש צוות פיתוח & PROGRAM MANAGER & הייטק-QA & מנהל/ת QA,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2284810-%D7%A4%D7%A8%D7%93%D7%A1%D7%99%D7%94-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98%D7%99%D7%9D/
אחראי/ת מערכות תשתית system,NGSoft,תיאור משרה לארגון פיננסי גדול ומוביל דרוש/ה אחראי/ת מערכות תשתית system,דרישות התפקיד - 3 שנות ניסיון עבודה בתפקיד system Linux בארגון גדול. - לפחות 3 שנות נסיון עם עולם קוברנטייס (K8S ואו OPENSHIFT) - חובה! - נסיון בכתיבת HELM.  - נסיון ועבודה על כלי DevOps.  - הכשרות מקצועיות בתחומים הרלוונטים לתפקיד,הייטק-כללי & איש/ת IT & DEVOPS & DEVOPS & הייטק-תוכנה & DEVOPS & LINUX / UNIX & DEVOPS,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-19502-ngsoft/
מומחה/ית GCP,matrix,"תיאור משרה חטיבת ה DevOps של מטריקס מגייסת במסגרת פרויקט ""נימבוס"" מומחי ענן בדגש על GCP להצטרף לפרויקט לאומי במשרדי החברה במודיעין",דרישות התפקיד ניסיון של ארבע שנים ומעלה בענן GCP ניסיון מעשי עם כלי האבטחה כגון ניהול זהויות וגישה בענן ידע באבטחת תהליכי  CICD כולל שימוש ב GKE כתיבת סקריפטים בשפות Python/ Bach היכרות עם ארכיטקטורת רשת ענן,הייטק-תוכנה & DEVOPS,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-4002258-%D7%90%D7%95%D7%98%D7%95%D7%9E%D7%A6%D7%99%D7%94%D7%95-devops/
