Title,Company,Job description,Requirements,Categories,Link
טכנאי PC / שטח באיזור מרכז וירושלים במיידי,yesnet כל פתרונות,"תיאור משרה ללקוחות שלנו דרושים במיידי טכנאי מחשבים בעלי נסיון תמיכה HD במשתמשים התקנות ושדרוגים של תחנות עבודה עבודה משעה 8 עד 17 וחצי, 5 ימי עבודה בשבוע.","דרישות התפקיד ניסיון של כטכנאי /ת מחשבים בארגון ידע בחומרה, מערכות הפעלה, AD, 365 טיפול בתקלות מערכת הפעלה WIN10 תחנות עבודה. טיפול בתקלות ותמיכה במשתמשי קצה. חשוב ידע בחומרה במחשב ויצירת IMAGE. התקנת מדפסות וסורקים",הייטק-כללי & טכנאי/ת מחשבים & HELP DESK / תמיכה & מנהל/ת רשת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-23860-yesnet-%D7%9B%D7%9C-%D7%A4%D7%AA%D7%A8%D7%95%D7%A0%D7%95%D7%AA/
מנהל/ת רשת ג'וניור במיידי,yesnet כל פתרונות,"תיאור משרה תמיכה במשתמשים בתחום החומרה והתוכנה המקומית, תמיכה באופיס, אנטי וירוס, תוכנות Client Server. תמיכה וניהול שרתים בכלל סניפי הרשת.","דרישות התפקיד שנה ניסיון לפחות בתחום - חובה ניסיון בעבודה עם Microsoft Windows Server. ניסיון בווירטואליזציה HYPER-V / VMWARE.- יתרון ידע בניהול Active Directory, GPO, Exchange,.365 היכרות עם מוצרי אבטחה ותקשורת היכרות עם מוצרי storage -יתרון. היכרות עם מוצרי גיבוי - יתרון.",הייטק-כללי & HELP DESK / תמיכה & SYS ADMIN WIN & מנהל/ת רשת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-23860-yesnet-%D7%9B%D7%9C-%D7%A4%D7%AA%D7%A8%D7%95%D7%A0%D7%95%D7%AA/
מנתח/ת מערכות דיגיטל,מרטנס הופמן- MALAM TEAM,תיאור משרה ל Mertens- Malam Team דרוש/ה מנתח/ת מערכות Web ואפליקציות לתחום הדיגיטל עבור ארגון פיננסי במרכז  הגדרת תפקיד: כתיבה ותחזוקה שוטפת של מסמכי אפיון של תחום הדיגיטל תיעוד שינויים ופתרונות בפרויקטים קיימים וחדשים תמיכה בתהליכי הפיתוח והבדיקות של תהליכים – עבודה מול צוותי הפיתוח והבדיקות מענה לצרכים וקידום משימות מול צוותים אחרים (בתיאום עם מנהלי הפרויקטים),"דרישות התפקיד ניסיון של שנתיים בניתוח מערכות Digital ניסיון מוכח בכתיבת מסמכי אפיון פונקציונאליים וטכניים למערכות Web ו-Mobile ניסיון בעבודה עם ממשקים מול מערכות שונות (API, קבצי JSON...) הבנה בחוויית משתמש - UX/UI  ידע ב-SQL ויכולת עבודה מול בסיסי הנתונים (MS SQL Server) ידע וניסיון בשימוש בכלים מקצועיים כגון Figma, Visio, Jira, MS Office ועוד ניסיון בתחום הפיננסי – יתרון משמעותי",הייטק-כללי & מנתח/ת מערכות & איש/ת IT & מנהל/ת פרויקטים,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2376295-%D7%9E%D7%A8%D7%98%D7%A0%D7%A1-%D7%94%D7%95%D7%A4%D7%9E%D7%9F-%D7%9E%D7%99%D7%97%D7%A9%D7%95%D7%91/
Cloud Support Engineer,אזטק טכנולוגיות,"תיאור משרה Aztek, a leading Microsoft Partner, is seeing a Cloud Support Engineer to provide 2nd tier support to our customers, in MS Office 365 and Azure Cloud Services. It is a great opportunity to join an established company and work with innovative customers on the most up-to-date technologies","דרישות התפקיד • Minimum 2 years’ experience as IT Support/Help Desk to end-users • Knowledge of Networking, DNS & AD • Good knowledge of MS Office • Experience in running cloud services of office 365 • Knowledge of other cloud services – advantage • Proficiency in English – a must Hybrid position",הייטק-כללי & SYS ADMIN WIN & CLOUD & איש/ת IT,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2431452-%D7%90%D7%96%D7%98%D7%A7-%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%95%D7%AA/
איש תקשורת ורשתות,בינת סמך,"תיאור משרה לארגון ביטחוני ברמלה דרוש/ה איש תקשורת ורשתות **משרת שטח  חלק ממסגרת התפקיד: תכלול מענה תקשורתי לכיתות כוננות בפריסה ארצית. תכנון ופיקוח על הקמה, בדיקה, כיוונון, הפעלה ותחזוקה של רשתות תקשורת מקומיות / מרחביות.","דרישות התפקיד ניסיון של שנתיים בעולמות התקשורת ובפרט: הכרה של מערכות תקשורת מקומיות / מרחביות מבוססות IP כולל תכנון, הגדרה ותחזוקה. תכנון, ליווי והקמה של פרויקטי תקשורת, עד למסירת הפרויקט והתיעוד. ניסיון עבודה מול ספקים / קבלני משנה לאורך כל שלבי הפרויקט. הכרה והבנה בתחום תקשורת הנתונים בדגש על מערכות וטכנולוגיות בעולם ה- IP הכרות והבנה בארכיטקטורת רשת תקשורת. נכונות לעבודה במערכות קריטיות (פיקוח נפש), בזמינות 24/7, כולל שבתות וחגים (בתשלום כמובן)","הייטק-כללי & תקשורת / שו""ב",https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2444923-%D7%91%D7%99%D7%A0%D7%AA-%D7%A1%D7%9E%D7%9A/
מיישם/ת מערכות פיננסי,Logica-IT,"תיאור משרה יישום חוקיות עסקית במערכות הליבה של הארגון באמצעות הגדרה בטבלאות ו/או כתיבת חוקים לוגיים. אפיון, בניה, תמיכה ותחזוקה של פעילות הביטוח במערכות ההפקה. כתיבת תרחישי בדיקות לפי מסמכי דרישות עסקיות ובדיקות קבלה לאחר גרסאות מערכת. אישור עסקי של מסמכי הדרישות טרום העברה לפיתוח.","דרישות התפקיד בוגר.ת תואר באחד מן התחומים הבאים: כלכלה, מימון, סטטיסטיקה, חשבונאות, ניהול, הנדסה, מדעים מדויקים. ניסיון בתחום הביטוח האלמנטרי (חיתום ותביעות) יתרון ניסיון יישום במערכת ליבה- חובה (comtec-  יתרון לניסיון עם) יכולת חשיבה וניתוח לוגי / מתמטי יכולת ניתוח תהליכים, שיפור שיטות ופתרון בעיות מורכבות יכולת הבנה עסקית גבוהה יכולת ראייה רוחבית יכולת ניהול מטריציוני / ממשקים, הובלת פרויקטים ומשימות ותיעדופן ניסיון בכתיבת חוקיות לוגית במערכות ביטוח יחסי אנוש מעולים יכולת עבודת בצוות תחת תנאי לחץ ומשימות מרובות",הייטק-כללי & מיישם/ת & מנהל/ת מערכות מידע & איש/ת מערכות מידע,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-311679-logica-it/
מנהל/ת רשת מחשוב? ההזדמנות הבאה לפניך!,מרטנס הופמן- MALAM TEAM,"תיאור משרה לחברת Mertens- MalamTeam דרוש/ים אנשי/ נשות תמיכת IT לתמיכה פנים ארגונית בעובדי ארגון גדול בפתח תקווה. במסגרת התפקיד תמיכה במשתמשים וניהול סביבת DOMAIN. כמו כן, ניהול הרשאות ב- Active Directory ו- Exchange, תמיכה בתקלות במערכות הפעלה Windows ועוד. השתלבות בצוות צעיר ומקצועי, תנאים טובים למתאימים. העבודה במשרה מלאה בשעות הבוקר, א’-ה’ ושישי לסירוגין.","דרישות התפקיד ניסיון של שנה לפחות כתומך/ת Help Desk או כמנהל/ת רשת מחשוב (אפשרי ניסיון צבאי) היכרות טובה עם מערכות הפעלה Win , מתן הרשאות ב- AD אבחון וטיפול בתקלות רשת, הגדרת כונני רשת והגדרת ציוד קצה",הייטק-כללי & HELP DESK / תמיכה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2376295-%D7%9E%D7%A8%D7%98%D7%A0%D7%A1-%D7%94%D7%95%D7%A4%D7%9E%D7%9F-%D7%9E%D7%99%D7%97%D7%A9%D7%95%D7%91/
לחברה אינטגרציה דרוש איש/ת Help Desk System,MissRuth,"תיאור משרה איש/ת Help Desk לתפקיד הכולל מתן שירותי תמיכה מקצועיים ללקוחות החברה הזדמנות מצוינת להיות חלק מחברת אינטגרציה מדהימה, ללמוד ולהתפתח. התפקיד הינו תמיכה ברשתות מחשבים ותקשורת מחשבים .","דרישות התפקיד * ניסיון של שנה לפחות בתפקיד IT / Help Desk הנותן מענה למשתמשי קצה *הבנה בסיסית ב Networking/DNS Records/AD *ידע בסביבת ותוכנות מיקרוסופט *ידע בניהול שירותי ענן *ניסיון בעבודה עם מערכת קריאות ותהליכי טיפול בתקלות עם SLA *ידע שירותי סיסטם ו Tier2 - יתרון *אנגלית ברמה טובה – חובה *יכולת לימוד עצמי – חובה *חיוך קבוע, שמחת חיים ואהבה למקצוע – חובה! המשרה במשרדי החברה בראשל""צ.",הייטק-כללי & HELP DESK / תמיכה & SYS ADMIN WIN & מנהל/ת רשת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1573146-missruth/
מיישמ\ת אוטומציה לתחום Automic,בינת תקשורת מחשבים,תיאור משרה אנחנו בבינת מגייסים מיישמ\ת אוטומציה לתחום Automic לעבודה דינמית ומגוונת כחלק מיחידת הDigital Workflows  איך יראה היום שלך? - איפיון והגדרת מערכות אוטומציה על פי צרכי הלקוחות. - הטמעת מערכות אוטומציה וליווי שוטף של הלקוחות לאחר ההטמעה. - פיתוח תהליכים אוטומטיים וכתיבת סקריפטים ב- Python / Powershell,דרישות התפקיד 1-3 שנות ניסיון בתפקידי תמיכה טכנית/תשתיות / IT - חובה. - ידע במערכות הפעלה Windows/Linux - חובה - ניסיון בעבודה מול לקוחות ושירותיות ברמה גבוהה. - סיווג ביטחוני - יתרון משמעותי. - תואר בהנדסה תעשיה וניהול /מערכות מידע – יתרון (יכול להתאים גם לסטודנטים בשנת הלימודים האחרונה),הייטק-כללי & מיישם/ת & איש/ת מערכות מידע & HELP DESK / תמיכה & הייטק-QA & בדיקות אוטומטיות,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-23725-%D7%91%D7%99%D7%A0%D7%AA-%D7%AA%D7%A7%D7%A9%D7%95%D7%A8%D7%AA-%D7%9E%D7%97%D7%A9%D7%91%D7%99%D7%9D/
"לחברה ביטחונית בחיפה, איש/אשת סיסטם",ALLSTARSIT,"תיאור משרה לחברה ביטחונית באיזור חיפה, איש/אשת סיסטם. עבודה במשרה מלאה וקבועה.  במסגרת התפקיד: אחריות על תפעול ויישום תשתיות IT ברשתות מחשוב מולטי דיספלינריות בהיקפים שונים, החל מרשתות מחשוב קטנות וכלה בסביבות פרויקטלית מורכבות. הפעילות הינה לאורך כל מחזור הפרויקט החל משלב הייזום, הפיתוח במעבדות, אתרי ניסויים ועד מסירה ללקוח. התפקיד כולל הטמעת פתרונות, ליווי ותמיכה בתקלות IT מגוונות בתשתיות תקשורת, חומרה סביבות וירטואליות ומערכות משולבות תוך אחריות על זמינות סביבות המחשוב הפרויקטליות, הובלת תהליכי בקרה תוך ביצוע בדיקת יישום הדרישות, תיעוד ושימור הידע.","דרישות התפקיד ניסיון של שנתיים לפחות בתחומים הבאים: מערכות הפעלה -Linux מערכות הפעלה ושרתי Windows ניסיון בתקשורת נתונים ועבודה עם מוצרי Cisco/Juniper ברמת CCNA יכולת יכולת עבודה באתרי הלקוח והניסויים בארץ ובחו""ל באתרי הלקוח והניסויים בארץ ובחו""ל שדרוג ותחזוקה לשירות רשתי - Active Directory ההקמה, שדרוג ותחזוקה של סביבות וירטואליזציה מבוססות VMware (עבודה עם מוצרים – vSphere, vCenter, VRA) ידע בהקמה והטמעה של פתרונות אחסון (NetApp) – יתרון. בעל.ת הסמכה בינלאומית – CCNA ו- MCSE - יתרון. יכולת כתיבת מסמכים – חובה. רישיון נהיגה – חובה. נכונות לעבודה באתרי הלקוח בארץ ובחו""ל.",הייטק-כללי & SYS ADMIN UNIX & מנהל/ת רשת & SYS ADMIN WIN,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-5700-testpro/
