Title,Company,Job description,Requirements,Categories,Link
עוזר/ת מודד/ת שטח - הכשרה על חשבוננו,"א. פנקס ובנו בע""מ","תיאור משרה לחברת א. פנקס ובנו בע""מ, דרוש/ה עוזרת/ת מודד/ת המתגוררים בצפון ובמרכז סביבת העבודה צעירה ונעימה מאוד **הכשרה לתפקיד תבוצע על ידינו** המשרה פונה לנשים וגברים כאחד.","דרישות התפקיד יוצאי/ות צבא - יתרון התמצאות ואהבה לשטח, גאוגרפיה ואתגרים בעל/ת חוש טכנולוגי רישיון נהיגה - חובה העבודה הינה עבודה בשטח",כללי & משרות כלליות & חייל/ת משוחרר/ת & סטודנט/ית,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-860817-%D7%A4%D7%A0%D7%A7%D7%A1-%D7%94%D7%A0%D7%93%D7%A1%D7%94-%D7%95%D7%9E%D7%93%D7%99%D7%93%D7%95%D7%AA/
טכנאי/ת מעליות למחלקת השרות- כולל הכשרה,- חסוי -,תיאור משרה לחברת מעליות מובילה במרכז דרוש/ה טכנאי/ת מעליות למחלקת השרות. הכשרה תינתן בחברה. רכב צמוד לאחר הכשרה. תנאים טובים מאוד למתאימים! היקף משרה מלאה.,דרישות התפקיד ניסיון במעליות- יתרון. הנדסאי חשמל/ אלקטרוניקה- יתרון. רישיון נהיגה הכרחי. יכולת עבודה עצמאית ובצוות.,בעלי מקצוע & חשמלאי & טכנאי/ת & מתקינים & הנדסה & הנדסאי/ת אלקטרוניקה & הנדסאי/ת חשמל & הנדסאי/ת מכונות,https://www.drushim.co.il/job/31283522/e241ee17/
רוצים להשתלב כעובדים בתחום הנגרות ? הכשרה עלינו !!,פרדי קונספט,תיאור משרה למפעל באזור הקריות המתמחה בייצור רהיטים בטכנולוגיה מתקדמת של ארונות וחדרי שינה דרושים/ות עובדים/ות המעוניינים להיכנס לעולם הנגרות אין צורך בניסיון קודם ההכשרה עלינו. הזדמנות ללמוד ולהתפתח בתחום. המשרה הינה משרה מלאה . **מוכר כעבודה מועדפת** תנאים טובים למתאימים .,"דרישות התפקיד - אין צורך בניסיון רק אהבה למקצוע ורצון ללמוד . עדיפות למשרות בפס ייצור, מפעיל מסור גשר, מפעיל מכונת קנטים, הרכבות רהיטים בייצור, מחלקת אריזה, פירוק הזמנות עם תוכנת ארדיס ואימוס.",כללי & עבודה מועדפת & משרות כלליות & חייל/ת משוחרר/ת & תעשיה / ייצור & מפעיל/ת מכונות & מרכיב/ה מכאני/ת & עובד/ת ייצור,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1204299-%D7%A4%D7%A8%D7%93%D7%99-%D7%AA%D7%A2%D7%A9%D7%99%D7%95%D7%AA/
"אמיר במות הרמה מגייסת עוזר מכונאי הכשרה ע""ח החברה",אמיר הנדסה,"תיאור משרה ""אמיר במות הרמה"" מגייסת עוזר מכונאי - הכשרה על חשבון החברה!! במסגרת התפקיד טיפול ובדיקת ציוד כבד/רכב עבודה בצוות. משרה מלאה 5 ימים בשבוע בימים א' - ה' בין השעות: 07:30-17:00 (ימי שישי לסירוגין - בתוספת תשלום כשעות נוספות). מתאים גם לחיילים משוחררים שהגיעו מהתחום בשרות הצבאי. תנאים טובים למתאימים + תנאים סוציאליים. עובד חברה מהיום הראשון! ** המשרה ממוקמת בפ""ת (לא רחוק מהקניון הגדול) - קו רכבת",דרישות התפקיד רקע טכני/אוריינטציה טכנית - יתרון רישיון נהיגה - חובה,"כללי & חייל/ת משוחרר/ת & פנסיונר/ית & משרות כלליות & רכב / תחבורה & מכונאי/ת רכב & רכב כללי & מפעיל/ת צמ""ה",https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-11326-%D7%90%D7%9E%D7%99%D7%A8-%D7%94%D7%A0%D7%93%D7%A1%D7%94/
רכז/ת הכשרות לתוכנית פיתוח עובדים מקצועיים לתעשייה,"צורים - יוצרים מציאות (ע""ר)","תיאור משרה לעמותת צורים יוצרים מציאות דרוש/ה רכז/ת הכשרות דרום ומרכז לתוכנית הכשרות הון אנושי לתעשייה היצרנית המתקדמת. תיאור משרה:  אחריות על תחום הכשרות מקצועיות באזור מרכז ודרום הארץ .  איתור וקידום הזדמנויות לקיום הכשרות מקצועיות לתעשייה (מעסיקים, אוכלוסיות מטרה, גורמי הכשרה ושותפויות). ליווי המוכשרים בפן האישי והמקצועי.  פיתוח קשרי מעסיקים באזור המרכז והדרום.","דרישות התפקיד יכולות בינאישיות טובות ושימחת חיים. יכולת התנהלות עצמאית. ניסיון בעבודה עם אוכלוסיות מגוונות - חרדים, חברה ערבית, צעירים, חיילים משוחררים. יכולת שיווק ויצירת שיתופי פעולה.  יכולת אדמיניסטרטיבית גבוהה כולל טיפול בחוזים והתקשרויות. יכולת עבודה על פי תכנית עבודה ועמידה ביעדים. אוריינטציה לעבודה ערכית בעלת משמעות חברתית.  רישיון נהיגה – נסיעות מרובות ברחבי בארץ היכרות עם תחום ההכשרות המקצועיות – יתרון תואר ראשון- יתרון משרה מלאה, נכונות לעבודה אחה""צ לפחות פעמיים בשבוע במשך השבוע העבודה באזור המרכז והדרום, פעם אחת בשבוע בצפון.",הדרכה / הוראה & מנחה/ת קבוצות & עובד/ת סוציאלי/ת & משאבי אנוש & רכז/ת משאבי אנוש & פיתוח ארגוני & הדרכה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3075913-%D7%A6%D7%95%D7%A8%D7%99%D7%9D--%D7%99%D7%95%D7%A6%D7%A8%D7%99%D7%9D-%D7%9E%D7%A6%D7%99%D7%90%D7%95%D7%AA-(%D7%A2%D7%A8)/
נציגי/ות שיווק ומכירה- הכשרה ללא עלות ושכר גבוה,איתך עד להצלחה,"תיאור משרה לחברת הביטוח הגדולה בישראל דרושים/ות נציגי/ות שיווק ומכירה בתחומי המשכנתאות.  התפקיד כולל: - מתן ייעוץ והכוונה ללקוח לכדי מכירת ביטוחי משכנתאות. - ניהול מו""מ מול לקוחות וחתירה לסגירת עסקה. - הפקת פוליסות ביטוח בהתאם לרגולציה קפדנית.  משמרות נוחות בימים א'-ה' בשעות: 8:30-15:30 + פעמיים בשבוע משמרת ערב בשעות: 10:00-18:00. שכר שעתי + בונוסים ללא תקרה! קיימת הגנת שכר 3 חודשי עבודה. מתאים למשרת הורים! תינתן הכשרה של תחום המשכנתאות ללא עלות.","דרישות התפקיד - זמינות לנוכחות מלאה בקורס הכשרה -כשלושה שבועות 9-16 - אסרטיביות, ביטחון עצמי - וורבליות וכושר ביטוי מעולה - אוריינטציה שיווקית וכושר שכנוע - יכולות למידה לחומר מקצועי - ניסיון במכירות במוקד טלפוני - ניסיון בתחומי הבריאות",מכירות & נציג/ת מכירות & מנהל/ת תיקי לקוחות & איש/ת מכירות,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2812497-%D7%90%D7%99%D7%AA%D7%9A-%D7%A2%D7%93-%D7%9C%D7%94%D7%A6%D7%9C%D7%97%D7%94/
יועץ/ת תביעות- כולל הכשרה ובונוסים,"מד מאסטר בע""מ","תיאור משרה לחברת מד מאסטר מקבוצת ד""ר אודי פרישמן, דרוש/ה יועץ/ת תביעות. מתאים גם למשרת סטודנטים / הורים. תיאור התפקיד: טיפול בלקוחות שפנו בנוגע למקרה רפואי ( עיקר עבודה על לידים חמים), תחקור מעמיק מול הלקוח הכולל היסטוריה רפואית וקבלת החלטה לפתיחת תיק. **הכשרה מלאה עלינו! **סביבת עבודה משפחתית ונעימה **שכר שעתי מתגמל + בונוסים גבוהים משרה מלאה בימים א'-ה' בין השעות 8:00-17:00 משרדי החברה ממוקמים בבורסה ברמת גן","דרישות התפקיד - יכולת מתן שירות ברמה גבוהה - דובר/ת השפה הרוסית או ערבית - יתרון - ניסיון בתפקיד דומה- יתרון. - יכולת הכלה גבוהה ואמפתיה. - אחריות, סדר וארגון. - הכרות עם תוכנות אופיס וסביבת עבודה ממוחשבת.",שירות לקוחות & שירות לקוחות & נציג/ת מכירות & BACK OFFICE - שירות לקוחות & מכירות & מתאם/ת פגישות & איש/ת מכירות & BACK OFFICE - מכירות,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3775968-%D7%9E%D7%93%D7%9E%D7%90%D7%A1%D7%98%D7%A8/
מפעילי/ות SMT בארגון גלובאלי- ההכשרה עלינו!,Elmo Motion Control,"תיאור משרה הזדמנות חד פעמית להיכנס לארגון גלובאלי ללא ניסיון קודם- ההכשרה עלינו! חברת Elmo Motion Control, חברה גלובאלית המתמחה בפיתוח ויצור מערכות בקרת הינע מתקדמות מגייסת מפעילי/ות SMT. התפקיד כולל: *הפעלת מכונות Samsung ,Siemens *ביצוע עבודות מריחה ידניות/ אוטומטיות מדויקות *הכנת SET UP למכונות SMT",דרישות התפקיד *ידע בהפעלת מכונת ה-SMT- יתרון משמעותי *ידע בהכנת SET UP- יתרון משמעותי *הנדסאי/ת אלקטרוניקה או בוגר/ת בית ספר מקצועי- יתרון *אוריינטציה טכנית/ידע במחשבים- יתרון *יכולת לעבוד משמרות בוקר ולילה- חובה,תעשיה / ייצור & מפעיל/ת מכונות & מלחים/ה / מחווט/ת & עובד/ת ייצור,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-15117-elmo-motion-control/
הכשרה למהנדסים או הנדסאים למגוון תחומים,Moona,"תיאור משרה בעלי רקע טכנולוגי בתכן מכני \ חשמל \ אלקטרוניקה \ תכנות \ בקרה? אתם במקום הנכון! תכנית הכשרה ממוקדת ויעילה להכשרת טכנאים, הנדסאים ומהנדסים למגוון תפקידים בתחום האוטומציה ומערכות משובצות רובוטיקה בתעשייה המתקדמת. סבסוד ממשלתי מלא, למעט דמי הרשמה בגובה 1% משווי הקורס. זמינות במשך כ 8 שבועות חמישה ימים בשבוע ימים א'-ה' 8:30-15:30 דימוי סביבת פיתוח תעשייתי (ניהול פרויקט הכולל תכן מכני, rapid prototyping, תכנון מערכת בקרה, תכנות בקר תעשייתי, תכנות מצלמה חכמה, אינטגרציה בין חיישנים, בקר ומנוע חשמלי) הכנה מעמיקה ומקצועית בהיבטים של אימון אישי, הקניית כישורים לתקשורת בין-אישית, מיקוד תכנית קריירה, הכוונה לכתיבת קו""ח, הכנה לראיון עבודה, תרגול למידה עצמית ועבודת צוות. התכנית מטפחת יצירתיות בסביבה הנדסית רב-תחומית ומיועדת במידה שווה לנשים וגברים. התכנית כוללת ליווי ועזרה בתהליך חיפוש העבודה. המרכזים שלנו נמצאים במגד אל כרום , כפר קאסם ועידן הנגב.","דרישות התפקיד רקע טכנולוגי כאמור בכותרת לעיל אהבת עבודה, לימודים, אדם ומכונה הקבלה לתכנית מותנה בראיון היכרות ובדיקת התאמה.",הנדסה & מהנדס/ת חשמל & הנדסאי/ת מכונות & מהנדס/ת מכונות,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2983459-moona/
הכשרה למהנדסים או הנדסאים למגוון תחומים,Moona,"תיאור משרה בעלי רקע טכנולוגי בתכן מכני \ חשמל \ אלקטרוניקה \ תכנות \ בקרה? אתם במקום הנכון! תכנית הכשרה ממוקדת ויעילה להכשרת טכנאים, הנדסאים ומהנדסים למגוון תפקידים בתחום האוטומציה ומערכות משובצות רובוטיקה בתעשייה המתקדמת. סבסוד ממשלתי מלא, למעט דמי הרשמה בגובה 1% משווי הקורס. זמינות במשך כ 8 שבועות חמישה ימים בשבוע ימים א'-ה' 8:30-15:30 דימוי סביבת פיתוח תעשייתי (ניהול פרויקט הכולל תכן מכני, rapid prototyping, תכנון מערכת בקרה, תכנות בקר תעשייתי, תכנות מצלמה חכמה, אינטגרציה בין חיישנים, בקר ומנוע חשמלי) הכנה מעמיקה ומקצועית בהיבטים של אימון אישי, הקניית כישורים לתקשורת בין-אישית, מיקוד תכנית קריירה, הכוונה לכתיבת קו""ח, הכנה לראיון עבודה, תרגול למידה עצמית ועבודת צוות. התכנית מטפחת יצירתיות בסביבה הנדסית רב-תחומית ומיועדת במידה שווה לנשים וגברים. התכנית כוללת ליווי ועזרה בתהליך חיפוש העבודה. המרכזים שלנו נמצאים במגד אל כרום , כפר קאסם ועידן הנגב.","דרישות התפקיד רקע טכנולוגי כאמור בכותרת לעיל אהבת עבודה, לימודים, אדם ומכונה הקבלה לתכנית מותנה בראיון היכרות ובדיקת התאמה.",הנדסה & מהנדס/ת חשמל & הנדסאי/ת מכונות & מהנדס/ת מכונות,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2983459-moona/
