Title,Company,Job description,Requirements,Categories,Link
"סג""ן\ית לסניף גבעתיים כולל הכשרה מלאה ושכר מעולה",TwentyFourSeven,"תיאור משרה רשת TwentyFourSeven מגייסת לסניף גבעתיים סג""ן/ית מנהל חנות. מץאים אנשים בעלי/ות חיבור לעולם האופנה והסטייל למגוון תפקידים מאתגרים המשלבים אופנה, אנשים, מכירות וניהול. העבודה בסביבה צעירה ודינמית וכוללת הנחות לכלל מותגי הקבוצה, מתנות בימי הולדת וחגים, טיסות לחו""ל וכמובן תחרויות עם הפרסים הכי שווים !! למתאימים/ות תינתן הכשרה מלאה לתפקיד. -עבודה במשרה מלאה/חלקית ישנה גמישות בשעות. עבודה במשמרות נוחות.",דרישות התפקיד -ייצוגיות ותשוקה לתחום האופנה -ניסיון במכירות אופנה - יתרון,מכירות & אחראי/ת משמרת & מנהל/ת סניף & מנהל/ת מכירות,https://www.drushim.co.il/job/31030024/9bf8bf1e/
יועץ/ת תביעות- כולל הכשרה ובונוסים,"מד מאסטר בע""מ","תיאור משרה לחברת מד מאסטר מקבוצת ד""ר אודי פרישמן, דרוש/ה יועץ/ת תביעות. מתאים גם למשרת סטודנטים / הורים. תיאור התפקיד: טיפול בלקוחות שפנו בנוגע למקרה רפואי ( עיקר עבודה על לידים חמים), תחקור מעמיק מול הלקוח הכולל היסטוריה רפואית וקבלת החלטה לפתיחת תיק. **הכשרה מלאה עלינו! **סביבת עבודה משפחתית ונעימה **שכר שעתי מתגמל + בונוסים גבוהים משרה מלאה בימים א'-ה' בין השעות 8:00-17:00 משרדי החברה ממוקמים בבורסה ברמת גן","דרישות התפקיד - יכולת מתן שירות ברמה גבוהה - דובר/ת השפה הרוסית או ערבית - יתרון - ניסיון בתפקיד דומה- יתרון. - יכולת הכלה גבוהה ואמפתיה. - אחריות, סדר וארגון. - הכרות עם תוכנות אופיס וסביבת עבודה ממוחשבת.",שירות לקוחות & שירות לקוחות & נציג/ת מכירות & BACK OFFICE - שירות לקוחות & מכירות & מתאם/ת פגישות & איש/ת מכירות & BACK OFFICE - מכירות,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3775968-%D7%9E%D7%93%D7%9E%D7%90%D7%A1%D7%98%D7%A8/
טכנאי/ת מעליות למחלקת השרות- כולל הכשרה,- חסוי -,תיאור משרה לחברת מעליות מובילה במרכז דרוש/ה טכנאי/ת מעליות למחלקת השרות. הכשרה תינתן בחברה. רכב צמוד לאחר הכשרה. תנאים טובים מאוד למתאימים! היקף משרה מלאה.,דרישות התפקיד ניסיון במעליות- יתרון. הנדסאי חשמל/ אלקטרוניקה- יתרון. רישיון נהיגה הכרחי. יכולת עבודה עצמאית ובצוות.,בעלי מקצוע & חשמלאי & טכנאי/ת & מתקינים & הנדסה & הנדסאי/ת אלקטרוניקה & הנדסאי/ת חשמל & הנדסאי/ת מכונות,https://www.drushim.co.il/job/31283522/e241ee17/
דרושים אקדמאים למשרות פיתוח תוכנה-ההכשרה עלינו,Infinity Labs,"תיאור משרה Infinity Labs R&D, חברת מחקר ופיתוח מובילה, מחפשת בוגרי תואר ראשון למשרות פיתוח תוכנה בקרב לקוחותיה. אנו מחפשים אנשיים מסורים וערכיים , לקחת חלק במסלול קריירה ייחודי מסוגו ומאתגר ללימודי Software Development. המודל העסקי שלנו מבוסס על שותפות - ההכשרה היא על חשבוננו ורק כאשר אתם מתחילים לעבוד בסיום ההכשרה בתפקידים הדורשים 2-3 שנות ניסיון אצל אחד מלקוחותינו, אנחנו יכולים להחזיר את ההשקעה בכם. המסלול כולל הכשרה מעמיקה ויסודית בת 32 שבועות, שבסיסה שיטת הלימוד הייחודית שפיתחנו, שתאפשר לכם להבין ולגעת בכל טכנולוגיה חדשה ולמצוא פתרונות לבעיות בצורה אפקטיבית במהלך הקריירה. -סביבת עבודה של יום בהייטק: לימוד בקבוצה של 12-14 אנשים שמהווה צוות אורגני בתעשייה, בהובלת מנטור שמתפקד כראש צוות לכל דבר. המנטור אמון על הקניית הרגלי עבודה בריאים לצד לימוד אינטנסיבי ואיכותי של המקצוע. מתודולוגיית לימוד ייחודית IMSL (Learning Social Mentored Methodology) - שיטת לימוד חברתית אשר שמה דגש על פיתוח יכולות אוטודידקטיות, למידה דרך הידיים, על ידי ביצוע פרויקטים בפועל במסגרת של יום עבודה בתעשייה על כל המשמעויות שלו. -מחלקת הלקוחות שלנו: את בוגרינו ניתן למצוא בחברות המובילות ביותר בתעשיית ההייטק. יש לנו מחלקה שלמה שכל תפקידה הוא לדאוג שבתום תקופת ההכשרה תתחילו לעבוד! יש לנו קשרים עסקיים עם למעלה מ300- חברות אשר קולטות את בוגרינו באופן קבוע ועקבי לאורך שנים. בעשור האחרון הכשרנו כ-2,000 מפתחי תוכנה, אנשי DevOps ו-Cyber שהיום מהווים את עמודי התווך בחברות מובילות בהייטק הישראלי. * תנאים מעולים ואפשרויות פיתוח אישי ומקצועי למתאימים/ות. * לא נדרש ניסיון קודם בתכנות - ההכשרה ניתנת על ידי החברה ללא עלות. * אופציה למלגות קיום במהלך ההכשרה.",דרישות התפקיד -תואר ראשון בהנדסה/מדעים מדויקים או תואר בהצטיינות עם ציון פסיכומטרי 680+ -אנגלית ברמה גבוהה -מיומנויות אוטודידקטיות -אוריינטציה אנליטית * משרה זו פונה לנשים וגברים כאחד.,מדעים / ביוטק & כימיה & ביולוגיה & פיזיקה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1999924-infinty-labs/
מתקיני שמשות רכבים בחולון *הכשרה מלאה*,"אילן קארגלס בע""מ","תיאור משרה דרושים מתקיני שמשות ברכבי פרייבט, משאיות ואוטובוסים משרה מלאה בימים א'-ה' 8.00-17.00 ובימי ו' לסירוגין 8.00-13.00 במסגרת המשרה- התקנת שמשות, פנסים ומראות. הכשרה על חשבון החברה- לא נדרש ניסיון. תנאים: שכר שעתי גבוהה פרמיות עבור עבודות ביגוד ע""ח החברה ארוחות צהריים מתנות בימי הולדת ובחגים.",דרישות התפקיד זמינות למשרה מלאה ללא גמישות ניסיון בעבודה טכנית (כלי עבודה) מוסר עבודה גבוהה רישיון ג'- יתרון רישיון גיר ידני- יתרון.,בעלי מקצוע & זגגות & אחר & אחזקה & כללי & משרות כלליות & חייל/ת משוחרר/ת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-411011-%D7%90%D7%99%D7%9C%D7%9F-%D7%A7%D7%90%D7%A8%D7%92%D7%9C%D7%A1-%D7%96%D7%92%D7%92%D7%95%D7%AA/
קריירה בעולמות ה-DevOps! ההכשרה על חשבוננו,Infinity Labs,"תיאור משרה Infinity Labs RnD, חברת פיתוח ומחקר מובילה, מגייסת מועמדים לתפקיד DevOps – אחד מהמקצועות הנחשקים בעולם ההייטק. החברה פיתחה מסלול ייחודי: DevOps Pro הכולל הכשרה אינטנסיבית וממוקדת שאורכת כ-22 שבועות. ההכשרה שלנו לא מבוססת על מרצים ושקפים, אלא משימות ואתגרי ניסוי וטעייה המקבילים למשימות יומיומיות בתעשייה בליווי צוות מנטורים.  במסלול ה-DevOps Pro תקבלו את כל הכלים המקצועיים ומשימות המקבילות לאתגרים היום-יומיים של אנשי DevOps. - ההכשרה בשיטת Hands-On - התמקצעות בשפות פיתוח בעולמות ה-System - עבודה בכלי CI\CD ו-SDLC - כלי ניהול קוד וגרסאות - שיטות בדיקה מורכבות - בניית תהליכים באמצעות דוקרים  בסיום ההכשרה תוכלו להשתלב בתפקיד DevOps באחת מחברות ההייטק והסטארט-אפים המובילים בישראל, בהם משתלבים מדי שנה בוגרים ובוגרות שלנו. ההכשרה על חשבון אינפיניטי לאבס ורק כאשר אתם מתקבלים בהצלחה למשרה, אנחנו מחזירים את ההשקעה בכם ויכולים לקיים מודל רווח. כלומר, ההצלחה שלנו בהכרח שווה להצלחה שלכם!",דרישות התפקיד - דרוש/ה ידע בסיסי בכתיבת קוד/IT - זיקה טכנולוגית ויכולת לפתור בעיות לוגיות והתמודדות עם משימות מורכבות - תנאים מעולים ואפשרויות פיתוח אישי ומקצועי למתאימים/ות - מוטיבציה גבוהה להיכנס לעולם ההייטק - ההכשרה ניתנת ללא עלות למתאימים,הייטק-כללי & איש/ת IT & HELP DESK / תמיכה & מנהל/ת רשת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1999924-infinty-labs/
מנהל.ת מכללת אגד חולון להכשרת נהגי אוטובוס,אגד,"תיאור משרה אגד מחפשת מנהל.ת להכשרת הדור הבא מנהל.ת מכללת אגד חולון מהות התפקיד : ניהול מכללה להכשרת נהגים: ניהול ואחריות להשגת היעדים העסקיים של המכללה. אחריות על כל שלבי התהליך : איתור המועמדים ---> ליוויי המועמד בתהליך הבירוקרטי של מילויי טפסים ומבדקים ---> הכשרה עיונית ---> הכשרה מעשית ---> קבלת רישיון ושיבוץ לעבודה.  תיאור התפקיד: • ניהול וביצוע תהליכי עבודה לניהול מערך ההכשרה של נהגים חדשים בדגש על השונות בין האוכלוסיות השונות (עם ובלי רישיון לאוטובוס). • ניהול ובקרה אחר שיווק המכללה. • הובלת צוותי עובדים, הנחייה מקצועית, תהליכית וניהולית. • יישום שגרות עבודה ועמידה ביעדים שהוצבו.",דרישות התפקיד • בעל.ת תואר אקדמאי רלוונטי –מנהל עסקים / כלכלה – חובה. • ניסיון כמנהל.ת מכללה / מנהל.ת מוקד של 5 שנים לפחות בארגון בינוני ומעלה- חובה. • ידע וניסיון בניהול יחידת רווח והפסד. • שליטה מלאה בתוכנות ה- office. • בעל.ת אוריינטציה עסקית גבוהה.,משאבי אנוש & מנהל/ת גיוס,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3703730-%D7%90%D7%92%D7%93/
מיישב/ת תביעות בריאות -הכשרה במקום!,נטלי שירותי רפואה,"תיאור משרה לחברת נטלי שירותי רפואה דרוש/ה מיישב/ת תביעות בריאות. התפקיד כולל: בחינת מסמכים,בדיקת כיסויים וקבלת החלטה בתביעה משרה יציבה ,מלאה ולטווח ארוך . ישנה גמישות בשעות! סביבת עבודה נעימה ומשפחתית! העבודה היא במשרדי החברה במתחם הבורסה בר""ג. אין חובה בניסיון קודם-הכשרה תינתן למתאימים/ות","דרישות התפקיד יכולת עבודה בצוות. דייקנות ,יסודיות וראש גדול. יתרון-ניסיון בתחום הביטוח. יתרון-ניסיון במזכירות רפואית. המשרה מיועדת לנשים וגברים כאחד",אדמיניסטרציה & BACK OFFICE - אדמיניסטרציה & מנהל/ת אדמיניסטרטיבי/ת & מזכיר/ה רפואי/ת & ביטוח & מסלק/ת תביעות & BACK OFFICE - ביטוח & פקיד/ת ביטוח,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-91906-%D7%A0%D7%98%D7%9C%D7%99--%D7%A8%D7%A4%D7%95%D7%90%D7%94-%D7%93%D7%97%D7%95%D7%A4%D7%94/
"חשמלאים/ות? מגוון אופציות קידום, הכשרה וניהול!","סגל לזר בע""מ","תיאור משרה רוצים ללמוד ולעבוד בפרויקטים מורכבים ומעניינים?! מעוניינים ללמוד ולהתקדם לתפקידים ניהוליים בתחום? זה הזמן להגיש מועמדות  לחברת סגל לזר אשר ממוקמת באזור מרכז הארץ, דרוש/ה חשמלאי/ת / ראש/ת צוות בעלי/ות רישיון חשמל, לביצוע עבודות חשמל בתחום התעשייה, מוסדות, משרדי.  העבודה כוללת התקנת תשתיות, לוחות חשמל, גופי תאורה, תעלות וכדומה  תנאים מעולים למתאימים/ות ואופציות קידום!","דרישות התפקיד ניסיון קודם מתחום החשמל - לפחות שנה רישיון חשמל בתוקף - חובה אחריות, אמינות, יכולת למידה גבוהות עבודה בצוות ובאופן פרטי עברית ברמה טובה נכונות לנסיעות בכל הארץ",בעלי מקצוע & חשמלאי & טכנאי/ת מתח נמוך & מנהל/ת עבודה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-318234-%D7%A1%D7%92%D7%9C-%D7%9C%D7%96%D7%A8/
"סוכן/ת נדל""ן - כולל הכשרה לקורס מתקדם בנדל""ן",- חסוי -,"תיאור משרה הכשרה בתחום הנדל""ן ללא תשלום . אם כסף זה מה שמריץ אותך, הנך מוזמן לקורס מתקדם בעולם הנדל""ן. שותפות ברווחים מהיום ה-1. עבודה כעצמאיים/ פרילנסריים - ישנה גמישות בשעות העבודה. אפשר כמשרה חלקית.",דרישות התפקיד אין צורך בניסיון קודם.,"מכירות & סוכן/ת נדל""ן & סוכן/ת מכירות שטח & סוכן/ת מכירות",https://www.drushim.co.il/job/31299805/6ede41e6/
