Title,Company,Job description,Requirements,Categories,Link
מחפשים את הטכנאי.ת IT הבא.ה שלנו,חסוי,"תיאור משרה לחברה גדולה באיזור צריפין, יבנה והסביבה דרוש.ה טכנאי.ת IT למשרה המשלבת שטח וגם משרד (בעיקר משרד). במסגת התפקיד: אחריות לתחזוקה ותמיכה של מערכות המחשוב והתקשורת בארגון. התפקיד כולל פתרון בעיות טכניות, התקנת חומרה ותוכנה, ניהול רשתות מקומיות, ומתן מענה מהיר לפניות עובדים. הטכנאי מבטיח את תקינות ויעילות התשתית הטכנולוגית, תורם לפרודוקטיביות העובדים, ומסייע בשמירה על אבטחת המידע הארגוני. התפקיד דינמי הדורש ידע טכני מקיף, יכולת פתרון בעיות, ומיומנויות תקשורת טובות. תחומי אחריות ופעילות • ניהול וניתוב העבודה השוטפת ע""י מערכות קריאות שירות • עבודה עם סביבת Active Directory ,קבוצות משתמשים, הרשאות וכו' • תחזוקת שירותי דואר – Microsoft 365- הקמת והגדרת משתמשים • תחזוקת מדפסות / מדפסות מדבקות - הגדרה ואבחון תקלות • תחזוקת מערכות הפעלה Windows 10,11– התקנה, הגדרות, אבחון תקלות • ניהול טופולוגית תקשורת - הכרות עם רשתות וירטואליות - VLAN • ניהול חומרה ורשתות LAN ו WAN • ניהול וטיפול במרכזייה מבוססת ענן • טיפול במערך התקשורת – הבנת פרוטוקולי תקשורת, אבחון תקלות בסיסיות - יתרון","דרישות התפקיד הכשרת טכנאי PC ורשתות - חובה לפחות שנתיים ניסיון כטכנאי שטח/משרד בחברות מעל ל-500 משתמשים - חובה ניסיון מוכח בניהול מערכות / רשתות מבוססות Microsoft - חובה שליטה גבוהה במחשבים מבוססי Office בסביבת 11,10Windows - חובה",הייטק-כללי & איש/ת IT & איש/ת מערכות מידע & HELP DESK / תמיכה,https://www.drushim.co.il/job/31382626/86ab4499/
טכנאי/ת שטח לחברת שערים חשמליים,היישריק שערים,"תיאור משרה לחברת שערים חשמליים מובילה דרוש /ה טכנאי/ת שטח. התפקיד כולל התקנות של מחסומי זרוע (חנייה) ושירות לשערים חשמלאיים. ימים ראשון-חמישי, ללא שישי. רכב חברה צמוד!",דרישות התפקיד * רקע טכני - חובה * ניסיון בעבודת שטח מאומצת - חובה * ניסיון בחשמל - חובה * ניסיון במסגרות - יתרון * תעודת הנדסאי /טכנאי אלקטרוניקה/מכונות - יתרון,בעלי מקצוע & טכנאי/ת & מתקינים & חשמלאי & הנדסה & הנדסאי/ת חשמל & הנדסאי/ת מכונות & הנדסאים כללי,https://www.drushim.co.il/job/31335221/d27d9fa5/
טכנאי /ת שירות למעבדת התיקונים של חברת הילתי,הילתי ישראל,"תיאור משרה דרוש /ה טכנאי /ת שירות למעבדת שירות הכלים של חברת Hilti על התפקיד : אנו מחפשים טכנאי שירות שיצטרף לצוות מרכז שירות הכלים החדשני והייחודי שלנו בפתח תקווה. תפקידו של הטכנאי לתקן ממגוון כלי העבודה הטובים בעולם לפי הסטנדרטים וההנחיות של Hilti העולמית כטכנאי שירות תוכל: * לתקן מגוון רחב של כלי עבודה. * למלא את בקשת הלקוח תוך הקפדה על איכות עלות וזמן התיקון, באמצעות שימוש במגוון מכונות, ציוד וכלים ייחודיים ובכפוף להנחיות המקצועיות. * לדאוג לניהול וסידור של מלאי חלקי החילוף. * ביצוע בדיקות איכות ובטיחות בהתאם להנחיות הילתי","דרישות התפקיד מה שאתה צריך זה: * הבנה של התחום הטכני / פונקציונלי חוש טכני, ניסיון ביישום ידע טכני * ניסיון רלוונטי (טכנאי שירות/מכונאות/ מוסך/ניסיון מהצבא וכדומה..) * מחויבות ללמידה מתמשכת, גישה חיובית לעבודת צוות, שיפור מתמיד ותשוקה לשביעות רצון הלקוח * אנגלית טובה * יתרון: לימודי תעודה בנושאים טכניים (הנדסאי מכונות/חשמל או דומיהם) ** יש לנו ניסיון רב עם אנשים שהגיעו ללא ניסיון ממושך בתחום וכיום הם מהמובילים בתחומם. משרה מלאה א’-ה’ 8-17 המעבדה ממוקמת באזור תעשיה סגולה בפתח תקווה. עבודה יציבה לטווח רחוק.",תעשיה / ייצור & טכנאי/ת - תעשייה וייצור & מכונאי/ת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-574468-%D7%94%D7%99%D7%9C%D7%AA%D7%99-%D7%99%D7%A9%D7%A8%D7%90%D7%9C/
דרוש/ה טכנאי/ת מתח נמוך עם הסמכת CCNA,קבוצת T&M ישראל,"תיאור משרה לקבוצת אבטחה בינלאומית בפריסה ארצית דרושים טכנאי מתח נמוך עם הסמכת CCNA, ידע וניסיון בתחום מערכות מיגון / מתח נמוך / מערכות גילוי אש.  תחומי העיסוק העיקריים: מערכות אזעקה, מצלמות, בקרות כניסה, מערכות גילוי אש ורשתות.  *עבודה דינמית ומאתגרת מול גורמים מוסדיים, עסקיים ופרטיים מהמובילים במשק.  **תנאים מצוינים למתאימים**","דרישות התפקיד *תעודת הסמכה CCNA - חובה *זמינות למשרה מלאה 5 ימים בשבוע, *רישיון נהיגה בתוקף - חובה *ניסיון קודם לפחות בחלק מתחומי העיסוק - חובה *ידע וניסיון במערכות מבוססות IP - יתרון משמעותי, *יחסי אנוש, משמעת ויכולת עבודה עצמאית – חובה",בעלי מקצוע & טכנאי/ת מתח נמוך,https://www.drushim.co.il/job/31423058/414f4164/
טכנאי/ת מערכות מיזוג אוויר,ישקר,"תיאור משרה לחברת ישקר דרוש/ה טכנאי מיזוג אוויר. התפקיד כולל תחזוקה מונעת ותחזוקת שבר של מערכות המיזוג והקירור התעשייתיים בהתאם לתוכניות עבודה. כמו כן, אבחון וטיפול בתקלות מורכבות בצ'ילרים, יט""אות, משאבות, ומערכות DX מורכבות.","דרישות התפקיד * תעודת טכנאי מיזוג אוויר + תעודת חשמלאי מוסמך – יתרון. * ניסיון קודם בתחזוקת מערכות קירור ומ""א תעשייתיות - שנתיים לפחות. * ידע במערכות בקרה וחשמל. * אנגלית טכנית ברמה טובה. * זמינות למשרה מלאה + נכונות לקריאות בשעות לא שגרתיות. * המודעה מיועדת לגברים ונשים כאחד.",בעלי מקצוע & טכנאי/ת מיזוג אוויר,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-14195-%D7%99%D7%A9%D7%A7%D7%A8/
"טכנאי/ת שירות למערכות מנ""מ","+ אלקטרה בע""מ +","תיאור משרה קבוצת אלקטרה מגייסת טכנאי/ת שירות למערכות מנ""מ באלקטרה מגאסון התפקיד כולל: מתן מענה לתקלות בציוד קצה במערכות מתח נמוך (אזעקה, גילוי אש, כריזה, TV, בקרת כניסות וכו') באתרי לקוחות החברה. - קבלת רכב צמוד לאחר תקופת ההכשרה. * הזדמנות להשתלב בחברה גדולה ומובילה!  *תנאים מעולים למתאימים/ות! משרת שטח באזור השרון והעמקים מנתניה ועד חיפה כולל כל אזור עפולה והעמקים בימים ובשעות: א'-ה' בין השעות 08:00-17:00+ שישי לסירוגין בין בשעות 8:00-12:00 +כוננויות והקפצות 24/7","דרישות התפקיד הנדסאי/ת  אלקטרוניקה - חובה. רקע וידע במחשבים - חובה (היכרות עם Office). נכונות לשעות עבודה נוספות, תורנויות וכוננויות.",בעלי מקצוע & טכנאי/ת מתח נמוך & טכנאי/ת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2963148-+-%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%94-+/
דרוש/ה טכנאי/ת מעליות לאיזור תל אביב/ נתניה,KONE,"תיאור משרה ל-KONE ישראל, חברת מעליות ודרגנועים המובילה בתחומה ,דרוש/ה טכנאי/ת מעליות. אחריות למתן שירות מהיר לקריאות לתיקון המעליות והדרגנועים. - אחריות לשביעות רצון הלקוחות באזור. - אחריות לשימור הלקוחות הקיימים. - אחריות על כשירות המעליות. תינתן הכשרה במידת הצורך. הזדמנות מעולה להצטרף לחברה בינלאומית ומובילה בתחומה בתפקיד מאתגר ומעניין שכולל עבודה מול ממשקים מגוונים. משרה מלאה. המשרה כוללת רכב חברה. *** תנאים טובים למתאימים/ות.",דרישות התפקיד חשמלאי/ת מוסמך/ת / הנדסאי/ת חשמל - חובה. רישיון נהיגה בתוקף - חובה. נכונות לעבודה בשעות נוספות. יתרון משמעותי לניסיון בתחום המעליות.,בעלי מקצוע & חשמלאי & טכנאי/ת מעליות & טכנאי/ת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3362167-kone/
טכנאי/ת שירות ותחזוקה- צוות מרכז,אל-מור אנרגיות מתחדשות,"תיאור משרה לחברת אלמור אנרגיות מתחדשות דרוש/ה טכנאי/ת למחלקת שירות ותחזוקה- לאזור מרכז. מיקום: חדרה - גדרה התפקיד כולל: * תפעול ותחזוקה של אתרים סולריים. * מעקב ובקרה אחרי בדיקות. * תמיכה בפרויקטים לאחר מסירה ללקוח – תקלות, תחזוקה מונעת, תחזוקת שבר, ביקורות שוטפות. * טיפול בתקלות חשמליות -DC/AC * פיקוח על קבלני משנה עבודת שטח מלאה נדרשת זמינות לכוננות כאחת לחודש בחגים ובסופי שבוע (כולל אחרי כניסת השבת!)",דרישות התפקיד 1. רישיון חשמל מוסמך ומעלה- חובה 2. ניסיון בעבודה בתחום החשמל/הסולארי- שנה ומעלה 2. ניסיון בעבודה בגובה- שנה ומעלה 3. ניסיון בתחום ה PV/סולארי- יתרון 4. רישיון נהיגה בתוקף- חובה,בעלי מקצוע & טכנאי/ת & חשמלאי & תעשיה / ייצור & חשמל ואלקטרוניקה & טכנאי/ת - תעשייה וייצור & תחזוקה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3492279-%D7%90%D7%9C%D7%9E%D7%95%D7%A8-%D7%90%D7%A0%D7%A8%D7%92%D7%99%D7%95%D7%AA-%D7%9E%D7%AA%D7%97%D7%93%D7%A9%D7%95%D7%AA/
טכנאי/ת שירות ותחזוקה - צוות צפון,אל-מור אנרגיות מתחדשות,"תיאור משרה לחברת אלמור אנרגיות מתחדשות דרוש/ה טכנאי/ת למחלקת שירות ותחזוקה ! התפקיד כולל: * תפעול ותחזוקה של אתרים סולריים. * מעקב ובקרה אחרי בדיקות. * תמיכה בפרויקטים לאחר מסירה ללקוח – תקלות, תחזוקה מונעת, תחזוקת שבר, ביקורות שוטפות. * טיפול בתקלות חשמליות -DC/AC * פיקוח על קבלני משנה. עבודת שטח מלאה נדרשת זמינות לסופי שבוע וחגים (כוננות כאחת לחודש)",דרישות התפקיד 1. רישיון חשמל מוסמך ומעלה– חובה. 2. רישיון נהיגה בתוקף – חובה. 3. ניסיון בתחום ה PV/סולארי – עדיפות. 4. בעל רישיון חשמלאי מסויג מתח גבוה – עדיפות,בעלי מקצוע & חשמלאי & אחזקה & טכנאי/ת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3492279-%D7%90%D7%9C%D7%9E%D7%95%D7%A8-%D7%90%D7%A0%D7%A8%D7%92%D7%99%D7%95%D7%AA-%D7%9E%D7%AA%D7%97%D7%93%D7%A9%D7%95%D7%AA/
טכנאי/ת שטח- צוות דרום,אל-מור אנרגיות מתחדשות,"תיאור משרה לחברת אלמור אנרגיות מתחדשות דרוש/ה טכנאי/ת שטח לאתרים סולאריים באזור הדרום. התפקיד כולל: * תפעול ותחזוקה של אתרים סולריים. * מעקב ובקרה אחרי בדיקות. * תמיכה בפרויקטים בשלבי ההקמה – עבודה מול מנהלי הפרויקטים. * תמיכה בפרויקטים לאחר מסירה ללקוח – תקלות, תחזוקה מונעת, תחזוקת שבר, ביקורות שוטפות. * טיפול בתקלות חשמליות -DC/AC * פיקוח על קבלני משנה. עבודת שטח מלאה נדרשת זמינות לעבודה בסופי שבוע וחגים (כוננות כאחת לחודש)",דרישות התפקיד 1. רישיון חשמל מוסמך ומעלה– חובה. 3. ניסיון בתחום ה PV /סולארי/ חשמל. 4. בעל רישיון חשמלאי מסויג מתח גבוה – יתרון,בעלי מקצוע & טכנאי/ת & חשמלאי & מתקינים,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3492279-%D7%90%D7%9C%D7%9E%D7%95%D7%A8-%D7%90%D7%A0%D7%A8%D7%92%D7%99%D7%95%D7%AA-%D7%9E%D7%AA%D7%97%D7%93%D7%A9%D7%95%D7%AA/
